120 Capital Management,Quantamental Global Macro Program,CTA,Systematic,Fundamental,Global
1512 SG Capital Management AG,St.Gallen I Counter-Trend,CTA,Systematic,Contrarian,Global
1900 Investments Asset Management,Dynamic Oil,CTA,Systematic,Short Term,Energy
1OAK Capital Limited,ACORN Commodity,CTA,Systematic,Market Neutral,Commodity
1OAK Capital Limited,GI Macro,CTA,Systematic,Short Term,Global
2100news,NWSBCT 2100news Blue Chip Index Fund,Crypto,Crypto,Crypto,Crypto
2100news,NWSCOT 2100news Coins Index Fund,Crypto,Crypto,Crypto,Crypto
2100news,NWSET 2100news Ethereum Tokens Index Fund,Crypto,Crypto,Crypto,Crypto
2100news,NWSLT 2100news Crypto Large-caps Index Fund,Crypto,Crypto,Crypto,Crypto
2Blue Capital,Tactical ES combi,CTA,Systematic,Contrarian,Equity
2Pixels Capital Management,Index Option Program,CTA,Systematic,Option Writer,Equity
300 North Capital,Global Macro,CTA,Discretionary,Technical,Global
361 Capital,361 Global Managed Futures Strategy Fund,CTA,Systematic,Contrarian,Equity
361 Capital,361 Managed Futures Strategy Fund,CTA,Systematic,Contrarian,Equity
361 Capital,361 TriplePoint Fund LP,CTA,Systematic,Contrarian,Global
361 Capital,Domestic Long/Short Equity,Equity LS,Systematic,Fundamental,US
361 Capital,Global Equity Absolute Return,Market Neutral,Systematic,Fundamental,Global
361 Capital,Global Long/Short Equity,Equity LS,Systematic,Fundamental,Global
396 Capital,396 Capital Partners LP,CTA,Systematic,Trend Following,Global
3D Capital Management,3D Bull Program,LongOnly,Active Index,Diversified,Equity
3D Capital Management,3D Defender Program,CTA,Systematic,Short Term,Equity
3D Capital Management,Intraday,CTA,Systematic,Short Term,Equity
3D Capital Management,Intraday Breakout,CTA,Systematic,Short Term,Equity
3D Capital Management,S&P,CTA,Systematic,Short Term,Equity
3i Capital Advisors,Relative Volatility,CTA,Discretionary,Market Neutral,Volatility
3iQ Corp,3iQ Bitcoin Trust,Crypto,Crypto,Crypto,Crypto
3iQ Corp,3iQ Global Cryptoasset Fund,Crypto,Crypto,Crypto,Crypto
3iQ Corp,The Bitcoin Fund,Crypto,Crypto,Crypto,Crypto
3iQ Corp,The Ether Fund,Crypto,Crypto,Crypto,Crypto
5 Stars Turbo Long,5STRARSTURBOLONG,Crypto,Crypto,Crypto,Crypto
514 Capital Partners,514 Fund,CTA,Systematic,Trend Following,Global
6800 Capital,Princeton Futures Fund,CTA,Fund of Funds,Diversified,Global
7im,Absolute Return Portfolio,Hedge Fund,Discretionary,Multi Strategy,Global
7im,Real Return,AssetAllocation,Discretionary,Diversified,Global
97 West Capital,Energy Matrix Strategy,CTA,Systematic,Multi Strategy,Energy
A S Peskin and Company,Omniversal,CTA,Systematic,Multi Strategy,Global
A-L Hedge,Antiloop Hedge,Hedge Fund,Discretionary,Multi Strategy,Global
A-VENTURE CAPITAL SA,A-VENTURE CAPITAL S.A Euros signals,CTA,Systematic,Short Term,Global
Aaro Capital,Multifund,Crypto,Fund of Funds,Crypto,Crypto
AbacusBlock Index,ABACUSBLOCK,Crypto,Crypto,Crypto,Crypto
Abbey Capital,Abbey Alternative Fund,CTA,Fund of Funds,Diversified,Global
Abbey Capital,Abbey Capital Futures Strategy,CTA,Fund of Funds,Diversified,Global
Abbey Capital,Abbey Capital Multi Asset Fund,LongOnly,Fund of Funds,Diversified,Equity
Abbey Capital,Abbey Global Fund,LongOnly,Fund of Funds,Diversified,Equity
Abel Capital Management,Conquistador,CTA,Systematic,Short Term,Equity
Abelian Capital Management,Global Diversified Program,CTA,Systematic,Trend Following,Global
Aberdeen,Absolute Return Bond,AssetAllocation,Systematic,Diversified,Global
Aberdeen,Alternative Risk Premia,RiskPremia,Systematic,Multi Strategy,Global
Aberdeen,Alternative Strategies,Hedge Fund,Fund of Funds,Diversified,Global
Aberdeen,Global Absolute Return,AssetAllocation,Discretionary,Multi Strategy,Global
Aberdeen,HFRI Liquid,Hedge Fund,Fund of Funds,Diversified,Global
Abingdon Global,Macro Catalyst Driven,CTA,Discretionary,Fundamental,Global
ABR,Dynamic Blend Equity & Volatil,Equity LS,Systematic,Option Strategy,Volatility
Abraham Investment Management,Diversified Program,CTA,Systematic,Trend Following,Global
Abraham Investment Management,Enhanced Global Diversified Prop,CTA,Systematic,Trend Following,Global
Abraham Investment Management,Global Diversified,CTA,Systematic,Trend Following,Global
Abraham Investment Management,Global Enhanced Diversified Client,CTA,Systematic,Trend Following,Global
Abraham Trading Company,Abraham Fortress Fund LP,AssetAllocation,Systematic,Multi Strategy,Global
Abraham Trading Company,Diversified Program,CTA,Systematic,Trend Following,Global
Abraham Trading Company,Salem 2X Fund L.P.,CTA,Systematic,Trend Following,Global
